condition,comparison,comparison_label,metric,metric_class,subset_label,n_proposals,human_metric_mean,ai_metric_mean,effect_human_minus_ai_mean,effect_human_minus_ai_median,ai_to_human_ratio_mean,wilcoxon_statistic,p_value,paired_rank_biserial
baseline,gemini,Gemini,remote_clique,compatibility,human_n_gte_3,22,0.03463639662121281,0.04796156666495584,-0.013325170043743017,-0.013468214869499204,1.3847158291166501,15.0,6.532669067382812e-05,-0.7272727272727273
baseline,gemini,Gemini,span90,exploratory,human_n_gte_3,22,0.016011531223180483,0.02148931589661386,-0.005477784673433381,-0.0053861995854741235,1.3421149793283347,30.0,0.0009412765502929688,-0.6363636363636364
baseline,gemini,Gemini,sparseness,exploratory,human_n_gte_3,22,0.01267246220783912,0.017671214659969667,-0.004998752452130544,-0.0049378698295284955,1.3944578701555208,15.0,6.532669067382812e-05,-0.7272727272727273
baseline,gpt,GPT,centroid_loo,exploratory,human_n_gte_3,22,0.024106057059707527,0.02824857454830815,-0.0041425174886006244,-0.006072661095539757,1.1718455024950847,51.0,0.01272726058959961,-0.45454545454545453
baseline,gpt,GPT,global_centroid_dist,exploratory,human_n_gte_3,22,0.01267246220783912,0.014955685633097088,-0.0022832234252579656,-0.003402476855206802,1.1801720445333488,50.0,0.011472702026367188,-0.45454545454545453
baseline,gpt,GPT,mean_pairwise,confirmatory,human_n_gte_3,22,0.03463639662121281,0.04069601432843642,-0.006059617707223606,-0.008945476015408828,1.1749494259894357,48.0,0.009274482727050781,-0.45454545454545453
baseline,gpt,GPT,medoid_dist,exploratory,human_n_gte_3,22,0.02187824443434224,0.02537675793423797,-0.003498513499895732,-0.005124439299106599,1.1599083285861878,43.0,0.005275726318359375,-0.45454545454545453
baseline,gpt,GPT,mst_dispersion,exploratory,human_n_gte_3,22,0.029188994205359257,0.03399715762246738,-0.004808163417108132,-0.007893431186676021,1.1647252174323062,41.0,0.004151344299316406,-0.45454545454545453
baseline,gpt,GPT,nn,confirmatory,human_n_gte_3,22,0.027515508008725712,0.032482211743340345,-0.004966703734614633,-0.007275797923405965,1.1805056164341794,41.0,0.004151344299316406,-0.45454545454545453
baseline,gpt,GPT,remote_clique,compatibility,human_n_gte_3,22,0.03463639662121281,0.04069601432843642,-0.006059617707223606,-0.008945476015408828,1.1749494259894357,48.0,0.009274482727050781,-0.45454545454545453
baseline,gpt,GPT,span90,exploratory,human_n_gte_3,22,0.016011531223180483,0.01889429325537428,-0.0028827620321937963,-0.0030978589577055782,1.1800428698549652,59.0,0.027535438537597656,-0.45454545454545453
baseline,gpt,GPT,sparseness,exploratory,human_n_gte_3,22,0.01267246220783912,0.014955685633097088,-0.0022832234252579656,-0.003402476855206802,1.1801720445333488,50.0,0.011472702026367188,-0.45454545454545453
one_at_a_time,all_ai,All AI,centroid_loo,exploratory,all_proposals,23,0.024214177499083726,0.01444699114173678,0.00976718635734695,0.009357061185320297,0.596633569002435,0.0,2.384185791015625e-07,1.0
one_at_a_time,all_ai,All AI,global_centroid_dist,exploratory,all_proposals,23,0.012411505090509941,0.007386716296861239,0.0050247887936486985,0.004435014270959081,0.5951507285372871,0.0,2.384185791015625e-07,1.0
one_at_a_time,all_ai,All AI,mean_pairwise,confirmatory,all_proposals,23,0.03428666600282641,0.020481045374465528,0.013805620628360884,0.013183195818038212,0.5973472420088083,0.0,2.384185791015625e-07,1.0
one_at_a_time,all_ai,All AI,medoid_dist,exploratory,all_proposals,23,0.021505114090615424,0.012737313366864492,0.008767800723750932,0.007260442205837795,0.5922922944372058,0.0,2.384185791015625e-07,1.0
one_at_a_time,all_ai,All AI,mst_dispersion,exploratory,all_proposals,23,0.0290761088979417,0.016870716438768574,0.012205392459173126,0.010637347558479168,0.5802260714453045,0.0,2.384185791015625e-07,1.0
one_at_a_time,all_ai,All AI,nn,confirmatory,all_proposals,23,0.02747538275476815,0.015357045633940723,0.012118337120827428,0.010480471932407701,0.5589383693399365,0.0,2.384185791015625e-07,1.0
one_at_a_time,all_ai,All AI,remote_clique,compatibility,all_proposals,23,0.03428666600282641,0.020481045374465528,0.013805620628360884,0.013183195818038212,0.5973472420088083,0.0,2.384185791015625e-07,1.0
one_at_a_time,all_ai,All AI,span90,exploratory,all_proposals,23,0.01560539712572962,0.009382353015655985,0.006223044110073633,0.005981715106328318,0.6012248800888699,8.0,5.9604644775390625e-06,0.7391304347826086
one_at_a_time,all_ai,All AI,sparseness,exploratory,all_proposals,23,0.012411505090509941,0.007386716296861239,0.0050247887936486985,0.004435014270959081,0.5951507285372871,0.0,2.384185791015625e-07,1.0
one_at_a_time,claude,Claude,centroid_loo,exploratory,all_proposals,23,0.024214177499083726,0.008330492426410683,0.01588368507267305,0.015411085479429171,0.3440336731126181,0.0,2.384185791015625e-07,1.0
one_at_a_time,claude,Claude,global_centroid_dist,exploratory,all_proposals,23,0.012411505090509941,0.00426151584428612,0.00814998924622382,0.008314326121502864,0.3433520603028678,0.0,2.384185791015625e-07,1.0
one_at_a_time,claude,Claude,mean_pairwise,confirmatory,all_proposals,23,0.03428666600282641,0.011830748164135478,0.022455917838690942,0.022879759470621742,0.34505390997072194,0.0,2.384185791015625e-07,1.0
one_at_a_time,claude,Claude,medoid_dist,exploratory,all_proposals,23,0.021505114090615424,0.00765113554139068,0.013853978549224743,0.013250205914179485,0.35578214136187936,0.0,2.384185791015625e-07,1.0
one_at_a_time,claude,Claude,mst_dispersion,exploratory,all_proposals,23,0.0290761088979417,0.010469619735427526,0.018606489162514176,0.01863518953323364,0.3600763696468571,0.0,2.384185791015625e-07,1.0
one_at_a_time,claude,Claude,nn,confirmatory,all_proposals,23,0.02747538275476815,0.010144445602444634,0.017330937152323516,0.01764805714289347,0.3692194461125074,0.0,2.384185791015625e-07,1.0
one_at_a_time,claude,Claude,remote_clique,compatibility,all_proposals,23,0.03428666600282641,0.011830748164135478,0.022455917838690942,0.022879759470621742,0.34505390997072194,0.0,2.384185791015625e-07,1.0
one_at_a_time,claude,Claude,span90,exploratory,all_proposals,23,0.01560539712572962,0.004987749339562879,0.010617647786166735,0.01128351358045202,0.31961694402119745,0.0,2.384185791015625e-07,1.0
one_at_a_time,claude,Claude,sparseness,exploratory,all_proposals,23,0.012411505090509941,0.00426151584428612,0.00814998924622382,0.008314326121502864,0.3433520603028678,0.0,2.384185791015625e-07,1.0
one_at_a_time,gemini,Gemini,centroid_loo,exploratory,all_proposals,23,0.024214177499083726,0.01108916118646912,0.013125016312614613,0.012945435483468843,0.4579615056876798,0.0,2.384185791015625e-07,1.0
one_at_a_time,gemini,Gemini,global_centroid_dist,exploratory,all_proposals,23,0.012411505090509941,0.00575308441135004,0.006658420679159899,0.00650989870650539,0.463528344821689,0.0,2.384185791015625e-07,1.0
one_at_a_time,gemini,Gemini,mean_pairwise,confirmatory,all_proposals,23,0.03428666600282641,0.015860227916551676,0.01842643808627474,0.018681166569391883,0.46257714049083226,0.0,2.384185791015625e-07,1.0
one_at_a_time,gemini,Gemini,medoid_dist,exploratory,all_proposals,23,0.021505114090615424,0.010270199870717698,0.011234914219897725,0.010937068859736125,0.477570117853943,0.0,2.384185791015625e-07,1.0
one_at_a_time,gemini,Gemini,mst_dispersion,exploratory,all_proposals,23,0.0290761088979417,0.014047596333683403,0.015028512564258299,0.014888623356819152,0.4831319205396783,0.0,2.384185791015625e-07,1.0
one_at_a_time,gemini,Gemini,nn,confirmatory,all_proposals,23,0.02747538275476815,0.013622543604477592,0.013852839150290558,0.013696971535682678,0.49580905664047575,0.0,2.384185791015625e-07,1.0
one_at_a_time,gemini,Gemini,remote_clique,compatibility,all_proposals,23,0.03428666600282641,0.015860227916551676,0.01842643808627474,0.018681166569391883,0.46257714049083226,0.0,2.384185791015625e-07,1.0
one_at_a_time,gemini,Gemini,span90,exploratory,all_proposals,23,0.01560539712572962,0.006824688895461796,0.00878070823026782,0.009234175661736394,0.437328754947831,1.0,4.76837158203125e-07,0.9130434782608695
one_at_a_time,gemini,Gemini,sparseness,exploratory,all_proposals,23,0.012411505090509941,0.00575308441135004,0.006658420679159899,0.00650989870650539,0.463528344821689,0.0,2.384185791015625e-07,1.0
one_at_a_time,gpt,GPT,centroid_loo,exploratory,all_proposals,23,0.024214177499083726,0.006398487391798328,0.017815690107285405,0.01672701901800655,0.2642454979955627,0.0,2.384185791015625e-07,1.0
